strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pango_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing	sampling_strategy	missing_data	divergence	nonACGTN	rare_mutations	snp_clusters	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_snp_clusters	clock_deviation	batch1	batch2	batch3	batch4	batch5	batch6	batch7	batch8	batch9	batch10	root_ref
India/KA-nimh-10559/2020	betacoronavirus	EPI_ISL_486400	?	2020-05-03	Asia	India	Karnataka		Asia	India	Karnataka	genome	29839	Human	34	Male	?	B.4.7	O	Victoria Hospital	Department of Neurovirology, National Institute of Mental Health and Neuroscience (NIMHANS)	Chitra Pattabiraman, Vijayalakshmi Reddy, Harsha PK, Risha Rasheed, Shafeeq S Hameed, Manjunatha Venkataswamy, Anita Desai, Ravi Vasanthapuram	https://www.gisaid.org/	?	?	2020-07-10	?												no	no	no	no	no	no	no	no	yes	no	no
Egypt/CCHE57357-A-75/2020	betacoronavirus	EPI_ISL_812843	?	2020-07-28	Africa	Egypt			Africa	Egypt		genome	29903	Human	unknown	unknown	?	A	O	Genomics Program,  Children Cancer Hospital	Genomics Program,  Children Cancer Hospital	Hatem, A., Hadad, A., Abouelnaga, S., Amer, K., Salah, H., Farawyla, H., Halafawy, A., Mansour, T., shalaby, L., Hassan, W., Soliman, M., Gomaa, C., Hassan, R., Soliman, S., Monuir, G., Hammad, M., Hussein, S., Abdo, I., Jalal, D., El-Zayat, M., El-Shaqnqery, H., Diab, A., Bakry, U., Samir, O., Magdeldin, S., Sayed, A.	https://www.gisaid.org/	?	?	2021-01-13	?												yes	no	no	no	no	no	no	no	no	no	no
Congo/UKT-014/2020	betacoronavirus	EPI_ISL_581492	?	2020-07-03	Africa	Republic of the Congo	Brazzaville		Africa	Republic of the Congo	Brazzaville	genome	29836	Human	unknown	unknown	?	B.1.544	GH	Fondation Congolaise pour la recherche medicale (FCRM)	NGS Competence Center Tübingen, Institut für Medizinische Mikrobiologie und Hygiene, Universitätsklinikum Tübingen	Angel Angelov	https://www.gisaid.org/	?	?	2020-10-14	?												yes	no	no	no	no	no	no	no	no	no	no
Zambia/ZMB-38729/2020	betacoronavirus	EPI_ISL_2803458	?	2020-07-24	Africa	Zambia	Lusaka	Lusaka	Africa	Zambia	Lusaka	genome	28877	Human	44	Male	?	AE.1	GR	University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe, Ngonda Saasa, Daniel Bridges, ZNPHI and ZGSC	https://www.gisaid.org/	?	?	2021-07-04	?												yes	no	no	no	no	no	no	no	no	no	no
Iraq/ICGEB-5T/2020	betacoronavirus	EPI_ISL_582030	?	2020-06-30	Asia	Iraq	Al-Muthanna Province		Asia	Iraq	Al-Muthanna Province	genome	29720	Human	26	Female	?	B.1	GH	Biology Department, College of Science, Al-Muthanna University	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab Platform	Nihad Al-Rashedi, Danilo Licastro, Sreejith Rajasekharan, Simeone Dal Monego, Alessandro Marcello	https://www.gisaid.org/	?	?	2020-10-15	?												no	no	no	no	no	no	no	yes	no	no	no
Singapore/680/2020	betacoronavirus	EPI_ISL_498578	?	2020-06-22	Asia	Singapore			Asia	Singapore		genome	29577	Human	53	Male	?	B.6	O	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM, Octavia S, Zhou Z, Chavatte JM, Cui L, Lin RTP	https://www.gisaid.org/	?	?	2020-07-27	?												no	no	no	no	no	no	no	yes	no	no	no
Japan/OIPH14/2020	betacoronavirus	EPI_ISL_4932136	?	2020-05-14	Asia	Japan	Osaka		Asia	Japan	Osaka	genome	29903	Human	unknown	unknown	?	A	S	Osaka Institute of Public Health, Osaka	Research Institute for Microbial Diseases (RIMD)	Ryo Morita, Ritsuko Kubota-Koketsu, Lu Xiuyuan, Tadahiro Sasaki, Emi E. Nakayama, Yu-chen Liu  Daisuke Okuzaki Daisuke Motooka, Yasunori Fujikawa, Ko Ida, Hidenori Nakagawa, Kiyoko Amo, Tetsushi Goto, Michinori Shirano, Sho Yamasaki, Tatsuo Shioda	https://www.gisaid.org/	?	?	2021-10-07	?												no	no	no	no	no	no	no	no	yes	no	no
Coted-Ivoire/BKE0125/2020	betacoronavirus	EPI_ISL_614355	?	2020-06-10	Africa	Cote d'Ivoire	Bouake		Africa	Cote d'Ivoire	Bouake	genome	29776	Human	36	Male	?	B.1.388	G	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi, Diané Bamourou, Etilé Anoh, Essia Belarbi, Safiatou Karidioula, Grit Schubert, Adjaratou Traoré, Soundélé Maïté, Monemo Pacome, Coulibaly Mbegnan, Bamba Fatoumata Touré, Kra Ouffoué, Fabian Leendertz	https://www.gisaid.org/	?	?	2020-11-05	?												no	yes	no	no	no	no	no	no	no	no	no
India/GJ-GBRC301a/2020	betacoronavirus	EPI_ISL_495046	?	2020-06-15	Asia	India	Gujarat	Vadodara	Asia	India	Gujarat	genome	29834	Human	50	Female	?	B.1.36.8	GH	GMERS Medical College & Hospital, Gotri, Vadodara	Gujarat Biotechnology Research Centre	Afzal Ansari, Nikha Trivedi, Meenakshi Shah, Neena Doshi, Varsha Godbole, Apurvasinh Puvar, Janvi Raval, Zarna Patel, Monika Gandhi, Pinal Trivedi, Maharshi Pandya, Nidhi Patel, Nitin Savaliya, Raghawendra Kumar, Dinesh Kumar, Zuber Saiyed, Komal Patel, Labdhi Pandya, R D Dixit, A M Kadri, Harsh Bakshi, Chaitanya Joshi, Madhvi Joshi	https://www.gisaid.org/	?	?	2020-07-22	?												no	no	no	no	no	no	no	yes	no	no	no
Benin/501/2020	betacoronavirus	EPI_ISL_476824	?	2020-03-17	Africa	Benin	Cotonou		Africa	Benin	Cotonou	genome	29804	Human	61	Female	?	B.1.356	GH	Laboratoire des Fièvres Hémorragiques Virales du Benin	Charité-Universitätsmedizin Berlin	Yadouleton, Anges; Sander Anna-Lena; Moreira-Soto Andres; Drexler, Jan Felix	https://www.gisaid.org/	?	?	2020-06-26	?												no	yes	no	no	no	no	no	no	no	no	no
India/DL-ILBS-18118/2020	betacoronavirus	EPI_ISL_3276887	?	2020-06-06	Asia	India	Delhi	New Delhi	Asia	India	Delhi	genome	29821	Human	70	Female	?	B.1.36.18	GH	Clinical Virology Laboratory, Institute of Liver and Biliary Sciences	ILBS	Ekta Gupta, Varun Suroliya, Diptanu Paul, Amit Pandey, Reshu Agarwal, Chhagan Bihari Sharma, Shiv Kumar Sarin	https://www.gisaid.org/	?	?	2021-08-08	?												no	no	no	no	no	no	no	yes	no	no	no
SaudiArabia/KAUST-MADINAH606/2020	betacoronavirus	EPI_ISL_513171	?	2020-05-06	Asia	Saudi Arabia	Madinah		Asia	Saudi Arabia	Madinah	genome	29903	Human	30	Female	?	B.1	GH	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Sara Mfarrej, Raeece Naeem, Rahul P Salunke, Sharif Hala, Fadwa Alofi, Amit Kumar Subudhi, Fathia Ben Rached, Afrah Alsomali, Jumana Taha, Abdulaziz Alahmadi, Asim Khogeer, Nashwa Al-khotani, Anwar Hashem, Naif Almontashiri, Arnab Pain	https://www.gisaid.org/	?	?	2020-08-12	?												no	no	no	no	no	no	no	no	yes	no	no
Japan/PG-10519/2020	betacoronavirus	EPI_ISL_901242	?	2020-04-15	Asia	Japan	Hyogo		Asia	Japan	Hyogo	genome	29868	Human	unknown	unknown	?	B.1.1.26	GR	Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Makoto Kuroda	https://www.gisaid.org/	?	?	2021-01-29	?												no	no	no	no	yes	no	no	no	no	no	no
Ghana/WACCBIP-GS04/2020	betacoronavirus	EPI_ISL_884829	?	2020-07-20	Africa	Ghana			Africa	Ghana		genome	29782	Human	unknown	unknown	?	B.1.1	GR	Department of Biochemistry,  Cell and Molecular Biology, West African Centre for Cell Biology of Infectious Pathogens (WACCBIP), University of Ghana	Department of Biochemistry,  Cell and Molecular Biology, West African Centre for Cell Biology of Infectious Pathogens (WACCBIP), University of Ghana	Ngoi, J.M., Tei-Maya, F., Morang'a, C.M., Magnussen, V., Amuzu, D.S., Mohammed, A., Tapela, K., Kibinge, N., Diallo, A.B., Kumi-Ansah, F., Odoom, T., Boakye, O.D., Amoako, E., Abass, A.-K., Quashie, P., Amenga-Etego, L.N., Akoriyea, S.K., Awandare, G.A., Bediako, Y.	https://www.gisaid.org/	?	?	2021-01-26	?												yes	no	no	no	no	no	no	no	no	no	no
SouthAfrica/KRISP-0149/2020	betacoronavirus	EPI_ISL_467499	?	2020-05-30	Africa	South Africa	KwaZulu-Natal		Africa	South Africa	KwaZulu-Natal	genome	29821	Human	44	unknown	?	B.1.1.117	GR	Molecular Diagnostics Services (MDS)	KRISP, KZN Research Innovation and Sequencing Platform	Giandhari J, Pillay S, Lessells R, Chimukangara B, Mdlalose K, York D, Khan S, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2020-06-14	?												no	yes	no	no	no	no	no	no	no	no	no
Senegal/91048/2020	betacoronavirus	EPI_ISL_8525831	?	2020-07-27	Africa	Senegal	Matam		Africa	Senegal	Matam	genome	29770	Human	24	Male	?	B.1.1	GR	Institut Pasteur de Dakar	Institut Pasteur de Dakar	Diallo Amadou, Diagne Moussa Moise,  Dia Ndongo, Sankhe Safietou, Ndiaye Ndack, Loucoubar Cheikh, Faye Ousmane, Sall Amadou Alpha	https://www.gisaid.org/	?	?	2022-01-10	?												yes	no	no	no	no	no	no	no	no	no	no
SouthAfrica/NICD-N19181/2020	betacoronavirus	EPI_ISL_6201243	?	2020-07-27	Africa	South Africa	North West		Africa	South Africa	North West	genome	29781	Human	34	Female	?	B.1.1.254	GR	TSHEPONG LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2021-11-11	?												yes	no	no	no	no	no	no	no	no	no	no
Zambia/ZMB-30834/2020	betacoronavirus	EPI_ISL_977391	?	2020-06-27	Africa	Zambia	Lusaka		Africa	Zambia	Lusaka	genome	29738	Human	32	Male	?	B.1.1	GR	University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe, Ngonda Saasa, Daniel Bridges	https://www.gisaid.org/	?	?	2021-02-11	?												no	yes	no	no	no	no	no	no	no	no	no
Kenya/C571/2020	betacoronavirus	EPI_ISL_568702	?	2020-04-12	Africa	Kenya	Mombasa		Africa	Kenya	Mombasa	genome	29782	Human	26	Male	?	A	S	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi	Githinji et al 2020	https://www.gisaid.org/	?	?	2020-10-02	?												no	yes	no	no	no	no	no	no	no	no	no
Egypt/NRC-6099/2020	betacoronavirus	EPI_ISL_2232284	?	2020-06-28	Africa	Egypt			Africa	Egypt		genome	29873	Human	unknown	unknown	?	B.1.334	GH	Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre	Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre	Rabeh El-Shesheny, Ahmed E Kayed, Ahmed El-Taweel, Mokhtar Gomaa, Sara Mahmoud, Yassmin Moatasim, Omnia Kutkat, Mina Kamel, Noura M Abo Shama, Mohamed El Sayes, Mahmoud Shehata, Ahmed Mostafa, Ahmed Kandeil, Richard Webby, Ghazi Kayali, Mohamed Ahmed Ali	https://www.gisaid.org/	?	?	2021-05-23	?												no	yes	no	no	no	no	no	no	no	no	no
SierraLeone/KGH-G-8604/2020	betacoronavirus	EPI_ISL_512814	?	2020-04-03	Africa	Sierra Leone			Africa	Sierra Leone		genome	29857	Human	unknown	unknown	?	B.6	O	Kenema Government Hospital, Ministry of Health and Sanitation	Kenema Government Hospital, Ministry of Health and Sanitation	Goba, A., Momoh, M., Sandi, J., Tomkins-Tinch, C., Siddle, K., Mehta, S., Oluniyi, P., Jalloh, S., Park, D., Andersen, K., Garry, R., Happi, C., Grant, D., Olawoye, I.	https://www.gisaid.org/	?	?	2020-08-11	?												no	yes	no	no	no	no	no	no	no	no	no
Zambia/ZMB-27664/2020	betacoronavirus	EPI_ISL_2803446	?	2020-06-19	Africa	Zambia	Lusaka	Lusaka	Africa	Zambia	Lusaka	genome	29738	Human	25	Female	?	B.1.1.99	GR	University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe, Ngonda Saasa, Daniel Bridges, ZNPHI and ZGSC	https://www.gisaid.org/	?	?	2021-07-04	?												no	yes	no	no	no	no	no	no	no	no	no
India/AS-INSACOG-CSIR-NEIST1-CIDIN0013/2020	betacoronavirus	EPI_ISL_3835125	?	2020-07-17	Asia	India	Assam	Golaghat	Asia	India	Assam	genome	29782	Human	12	Female	?	B.1.1.201	GR	Centre for Infectious Diseases, CSIR-NEIST	Centre for Infectious Diseases, CSIR-NEIST	Romi Wahengbam, Moirangthem G Singh, Munmi Bora, Pankaj Bharali, Prasenjit Manna, Tridip Phukan, Gayatri Gogoi, Yasmin B Tapaddar, Jatin Kalita, G Narahari Sastry	https://www.gisaid.org/	?	?	2021-09-01	?												no	no	no	no	no	no	no	no	no	yes	no
Kenya/SS2765/2020	betacoronavirus	EPI_ISL_5797290	?	2020-05-20	Africa	Kenya			Africa	Kenya		genome	29782	Human	unknown	unknown	?	B.1.1	GR	Epidemiology and Demography,  KEMRI-Wellcome Trust Research Programme	Epidemiology and Demography,  KEMRI-Wellcome Trust Research Programme	Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J.	https://www.gisaid.org/	?	?	2021-10-14	?												no	yes	no	no	no	no	no	no	no	no	no
Israel/2046434/2020	betacoronavirus	EPI_ISL_447404	?	2020-04-01	Asia	Israel	North District		Asia	Israel	North District	genome	29782	Human	59	Female	?	B.1.310	GH	Clinical Microbiology Laboratory, The Baruch Padeh Medical Center, Poriya	Stern Lab	Stern Lab	https://www.gisaid.org/	?	?	2020-05-17	?												no	no	no	no	yes	no	no	no	no	no	no
Zimbabwe/ZW-16502/2020	betacoronavirus	EPI_ISL_1191803	?	2020-07-28	Africa	Zimbabwe			Africa	Zimbabwe		genome	29798	Human	38	Female	?	B.1.1	GR	National Microbiology Reference Laboratory	Quadram Institute Bioscience	Tapfumanei Mashe, Faustinos T Takawira, Hlanai Gumbo, Kenneth K Maeka, Agnes Juru, Charles Nyagupe, Sekesai Zinyowera, Muchaneta Mugabe, Thanh Le Viet, Justin O’Grady, Gemma Kay, David Baker, Gaetan Thilliez, Ana-Victoria Gutierrez, Robert Kingsley, Leonardo de Oliveira Martins, Andrew Tarupiwa, Andrew J. Page, Raiva Simbi	https://www.gisaid.org/	?	?	2021-03-09	?												yes	no	no	no	no	no	no	no	no	no	no
Niger/7322/2020	betacoronavirus	EPI_ISL_2281822	?	2020-07-06	Africa	Niger	Niamey		Africa	Niger	Niamey	genome	29824	Human	51	Male	?	A	S	Centre de Recherche Médicale et Sanitaire (CERMES)	Institut Pasteur de Dakar	Lagare Adamou, Diagne Moussa Moïse, Dia Ndongo, Diallo Amadou, Sankhe Safietou, Diop Mamadou, Ndiaye Ndack, Loucoubar Cheikh, Faye Ousmane, Sall Amadou Alpha	https://www.gisaid.org/	?	?	2021-05-26	?												yes	no	no	no	no	no	no	no	no	no	no
HongKong/HKPU-00721/2020	betacoronavirus	EPI_ISL_3105856	?	2020-04-01	Asia	Hong Kong			Asia	Hong Kong		genome	29782	Human	36	Female	?	B.1.1.33	GR	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu, Lam-Kwong Lee, Kenneth Siu-Sing Leung, Jake Siu-Lun Leung, Wing-Hei Lo, Timothy Ting-Leung Ng, Chloe Toi-Mei Chan, Hoi-Ching Jim, Ivan Tak-Fai Wong, Kingsley King-Gee Tam, Hiu-Yin Lao, Denise Sze-Hang Wong, Alan Ka-Lun Wu, Miranda Chong-Yee Yau, Yvette Wai-Man Lai, Kitty Sau-Chun Fung, Sandy Ka-Yee Chau, Barry Kin-Chung Wong, Wing-Kin To,  Kristine Luk, Alex Yat-Man Ho, Tak-Lun Que, Kam-Tong Yip, Wing Cheong Yam, David Ho-Keung Shum, Shea Ping Yip	https://www.gisaid.org/	?	?	2021-07-28	?												no	no	no	no	yes	no	no	no	no	no	no
Egypt/NRC-5962/2020	betacoronavirus	EPI_ISL_8193913	?	2020-06-21	Africa	Egypt			Africa	Egypt		genome	29776	Human	unknown	unknown	?	B.1.334	GH	Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre	Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre	Rabeh El-Shesheny, Ahmed Kandeil, Ahmed E Kayed, Mokhtar Gomaa, Richard Webby, Ghazi Kayali, Mohamed Ahmed Ali	https://www.gisaid.org/	?	?	2021-12-30	?												no	yes	no	no	no	no	no	no	no	no	no
Egypt/NRC-6231/2020	betacoronavirus	EPI_ISL_8193886	?	2020-07-06	Africa	Egypt			Africa	Egypt		genome	29865	Human	unknown	unknown	?	B.1.170	GH	Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre	Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre	Rabeh El-Shesheny, Ahmed Kandeil, Ahmed E Kayed, Mokhtar Gomaa, Richard Webby, Ghazi Kayali, Mohamed Ahmed Ali	https://www.gisaid.org/	?	?	2021-12-30	?												yes	no	no	no	no	no	no	no	no	no	no
Botswana/BOT0455/2020	betacoronavirus	EPI_ISL_560386	?	2020-03-28	Africa	Botswana	Gaborone		Africa	Botswana	Gaborone	genome	29782	Human	39	Female	?	B.1	GH	National Health Laboratory	Botswana Institute for Technology Research and innovation	Kefentse Arnold Tumedi, Madisa Mine, Dineo Emang Tshiamo. Gape Nyepetsi, Thongbotho Mphoyakgosi, Maitshwarelo Ignatius Matsheka	https://www.gisaid.org/	?	?	2020-09-29	?												no	yes	no	no	no	no	no	no	no	no	no
Japan/PG-2033/2020	betacoronavirus	EPI_ISL_685638	?	2020-05-01	Asia	Japan	Saitama		Asia	Japan	Saitama	genome	29739	Human	unknown	unknown	?	B.1.1.283	GR	Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Makoto Kuroda	https://www.gisaid.org/	?	?	2020-12-10	?												no	no	no	no	no	no	no	no	yes	no	no
Indonesia/SB-74-FKUA/2020	betacoronavirus	EPI_ISL_1533066	?	2020-07-17	Asia	Indonesia	West Sumatra	Padang	Asia	Indonesia	West Sumatra	genome	29857	Human	47	Female	?	B.1.36.19	GH	Diagnostic and Research Center of Infectious Diseases, Medical Faculty, Andalas University	Diagnostic and Research Center of Infectious Diseases, Medical Faculty, Andalas University	Andani Eka Putra, Syafrizayanti, Ikhwan R. Sudji, Linosefa, Dede Rahman Agustian, Ayu Novita Trisnawati, Siskalil Fahma, Nia Ayuni Putri, Sekar Asri Tresnaningtyas, SM Rezvi, Fauzul Azhim, Dessy Arisanty, Gestina Aliska, Desmawati, Nita Afriani ,Syandrez Prima Putra, Juane Plantika Menra, Yolani Syaputri, Mutia Lailani	https://www.gisaid.org/	?	?	2021-04-10	?												no	no	no	no	no	no	no	no	no	yes	no
Qatar/QA-WCMQ_FD18190021/2020	betacoronavirus	EPI_ISL_1714499	?	2020-07-07	Asia	Qatar	Doha		Asia	Qatar	Doha	genome	29811	Human	35	Female	?	B.1.545	G	Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed, Meryem Bensaad, Shameem Younuskunju, Yasmin Mohamoud, Laith Abu-Raddad, Joel A Malek.  QGP: Fatima H. Al-Kuwari, Chadi Saad  MOPH and HMC: Abdullatif Al-Khal, Muna A. S. Al-Maslamani, Mashael A. Al-Bader, Hamda Alromaihi, Roberto Bertollini, Peter V. Coyle, Einas A. E. Al-Kuwari, Hamad E. Al-Romaihi, Salih Al-Marri, Mohammed Al-Thani, Reham A. El-Kahlout.  QBB: Tasneem Al-Hamad, Dina Elgakhlab	https://www.gisaid.org/	?	?	2021-04-25	?												no	no	no	no	no	no	yes	no	no	no	no
SouthAfrica/NHLS-UCT-GP-6037/2020	betacoronavirus	EPI_ISL_960169	?	2020-06-02	Africa	South Africa	Western Cape	Klipfontein	Africa	South Africa	Western Cape	genome	29813	Human	38	Male	?	B.1.1.34	GR	Heideveld CDC wc HVP	National Health Laboratory Service/UCT	Arash Iranzadeh, Deelan Doolabh, Lynn Tyers, Bruna Galvao, Innocent Mudau, Marvin Hsiao, Kruger Marais, Diana Hardie, Stephen Korsman, Carolyn Williamson	https://www.gisaid.org/	?	?	2021-02-09	?												no	yes	no	no	no	no	no	no	no	no	no
SouthAfrica/NHLS-UCT-GS-0041/2020	betacoronavirus	EPI_ISL_640039	?	2020-03-19	Africa	South Africa	Western Cape	Mossel Bay	Africa	South Africa	Western Cape	genome	29821	Human	47	Female	?	B.1.1.10	GR	Mossel Bay Hospital wc MBY	NHLS/UCT	Arash Iranzadeh, Deelan Doolabh, Lynn Tyers, Bruna Galvao, Innocent Mudau, Marvin Hsiao, Kruger Marais, Diana Hardie, Stephen Korsman, Carolyn Williamson	https://www.gisaid.org/	?	?	2020-11-17	?												no	yes	no	no	no	no	no	no	no	no	no
SouthKorea/KCDC2661/2020	betacoronavirus	EPI_ISL_522444	?	2020-05-19	Asia	South Korea			Asia	South Korea		genome	29823	Human	26	Male	?	B.1.36	GH	Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Junyoung Kim, Ae Kyung Park, Eunkyung Shin, Jin Sun No, Jeong-Min Kim, Yoon-Seok Chung, Heui Man Kim, Myung Guk Han	https://www.gisaid.org/	?	?	2020-08-26	?												no	no	no	no	no	no	no	no	yes	no	no
Algeria/11814/2020	betacoronavirus	EPI_ISL_12156725	?	2020-05-02	Africa	Algeria	Medea		Africa	Algeria	Medea	genome	29714	Human	82	Female	?	B.1	GH	NIC,  Viral Respiratory Unit	NIC,  Viral Respiratory Unit	Sarah Belkalem, Mohamed Amine Beloufa, Baya Hedjal, Kahina Izri, Alia Gradi, Zahida Mehdi, Aicha Bensalem, Fawzi Derrar, Ajogbasile Fehintola Victoria, Kayode Tolulope Adeyemi, Oguzie Judith Uche, Olawoye Idowu Bolade, Olumade Testimony Jesupamilerin, Oluniyi Paul Eniola, Uwanibe Jessica Nnenna, Abechi Priscilla, Adedotun-Sulaiman Kemi, Adeleke Ayomide, Akano Kazeem, Akinlo Oluwasemilogo Oluwasekunolami, Akin-John Julie Oreoluwa, Ayoade Femi, Ayo-Ale Olubukola, Adegboyega Benjamin, Chukwu Grace Chizaramu, Eromon Philomena, Ezekiel Grace Opemipo, Brimmo Farida, Fayemi Olanrewaju Odunyemi, Nwodo Deborah Chisom, Ogunsanya Olusola Akinola, Okolie Johnson, Omoniyi Abolade Esther, Omwanghe Iyobosa Beatrice, Ope-ewe Oludayo Oluwaseyi, Otitoola Shobi, Oyejide Nicholas, Philip Courage, Ipaye Testimony Oluwatise, John Oluwagboadurami, Muhammad Ahmed Iluoreh, Saibu Mudasiru Femi, Sijuwola Ayotunde Elijah, Sobajo Tope, Terkuma Christabel Anamuma, Ugwu Chinedu, Uwem George, Folarin Onikepe, Fred-Akintunwa Iyanuoluwa, Happi Anise Nkenjop, Happi Christian Tientcha	https://www.gisaid.org/	?	?	2022-04-20	?												no	yes	no	no	no	no	no	no	no	no	no
Israel/CVL1196/2020	betacoronavirus	EPI_ISL_516905	?	2020-06-29	Asia	Israel	Northern District		Asia	Israel	Northern District	genome	29903	Human	54	Male	?	B.1.1.50	GR	Israel Central Virology laboratory	Israel Central Virology laboratory	Neta Zuckerman, Efrat Dahan Bucris, Oran Erster, Ella Mendelson, Michal Mandelboim	https://www.gisaid.org/	?	?	2020-08-24	?												no	no	no	no	no	no	no	yes	no	no	no
SouthAfrica/Tygerberg_210/2020	betacoronavirus	EPI_ISL_3068013	?	2020-05-06	Africa	South Africa	Western Cape	Cape Town Metro	Africa	South Africa	Western Cape	genome	29782	Human	51	Male	?	B.1.1.409	GR	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, Stellenbosch University and NHLS Tygerberg Hospital	Susan Engelbrecht, Bronwyn Kleinhans, Kayla Delaney, Gert van Zyl, Wolfgang Preiser	https://www.gisaid.org/	?	?	2021-07-24	?												no	yes	no	no	no	no	no	no	no	no	no
Bahrain/BAH-24/2020	betacoronavirus	EPI_ISL_483638	?	2020-04-07	Asia	Bahrain			Asia	Bahrain		genome	29760	Human	unknown	unknown	?	A	S	Kingdom of Bahrein Ministry of Health	Erasmus Medical Center	Bas Oude Munnink, David Nieuwenhuijse, Reina Sikkema, Fatema, Ebrahim Shehad, Amjad Ghanem Mohamed, Hashmeya Al Wasti, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Theo Bestebroer, Stefan van Nieuwkoop, Mark Pronk, Pascal Lexmond, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team.	https://www.gisaid.org/	?	?	2020-07-08	?												no	no	no	no	yes	no	no	no	no	no	no
Jordan/IR-ALSR-2578/2020	betacoronavirus	EPI_ISL_635777	?	2020-06-25	Asia	Jordan	Irbid		Asia	Jordan	Irbid	genome	29829	Human	unknown	unknown	?	A	S	Biolab Diagnostic Laboratories	Andersen lab at Scripps Research	Issa Abu-Dayyeh, Ahmad Tibi, Lama Hussein, Lina Mohammad, Zein Naber, Amid Abdelnour with SEARCH Alliance San Diego	https://www.gisaid.org/	?	?	2020-11-13	?												no	no	no	no	no	no	no	yes	no	no	no
BurkinaFaso/CV1770/2020	betacoronavirus	EPI_ISL_4255028	?	2020-05-29	Africa	Burkina Faso	Ouagadougou		Africa	Burkina Faso	Ouagadougou	genome	29806	Human	unknown	unknown	?	A.11	S	Centre Hospitalier Universitaire de Tengandogo	Africa Centre for Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye, I.B., Oluniyi, P.E., Eromon, P.E., Oguzie, J.U., Kayode, A.T., Uwanibe, J.N., Ugwu, C.A., Akano, K.O., Ajogbasile, F.V., Abechi, P.S., Olumade, T.J., Nosamiefan, I., Folarin, O., Happi, C.T.	https://www.gisaid.org/	?	?	2021-09-17	?												no	yes	no	no	no	no	no	no	no	no	no
